Zip,IMR
77059,4.3572984
77060,7.9288802
77061,7.9323111
77062,8.0071173
77063,3.2089851
77064,6.5717416
77065,5.164319
77066,2.745744
77067,7.6595745
77068,10.88647
77069,5.2287583
77070,4.7427945
77071,6.3211126
77072,3.8501027
77073,6.4059339
77074,5.3511705
77075,6.6079297
77076,6.0844669
77077,2.4766097
77078,11.524822
77079,4.5543265
77080,8.5849619
77081,4.9539986
77082,5.9523811
77083,5.9538574
77084,5.5069647
77085,5.6710777
77086,6.5425262
77087,3.0935807
77088,7.5574365
77089,4.8780489
77090,7.7958894
77091,10.958904
77092,8.6277733
77093,9.4886665
77094,
77095,2.8066237
77096,5.164319
77097,
77098,4.6224961
77099,8.1178589
77201,
77202,
77207,
77210,
77213,
77218,
77219,
77220,
77222,
77225,
77226,
77227,
77230,
77231,
77233,
77234,
77237,
77238,
77240,
77242,
77244,
77245,
77248,
77249,
77253,
77255,
77257,
77261,
77263,
77266,
77267,
77268,
77269,
77270,
77271,
77272,
77273,
77274,
77275,
77277,
77279,
77280,
77288,
77290,
77291,
77292,
77293,
77301,8.4507046
77302,5.144033
77303,2.7881041
77304,2.2624435
77305,
77306,3.6809816
77307,
77309,
77312,
77314,
77316,5.9453034
77318,7.1530757
77320,3.6003602
77325,
77326,
77327,5.9726963
77328,1.1587485
77330,
77331,
77333,
77334,
77335,
77336,0
77338,4.3120346
77339,3.8230474
77340,7.9435129
77341,
77342,
77343,
77345,2.3501763
77346,4.2235217
77347,
77350,
77351,5.7265568
77353,
77354,2.559181
77355,4.3975372
77356,3.3370411
77357,6.9659443
77358,
77359,
77360,
77362,
77363,
77364,
77365,6.568974
77367,
77368,
77369,
77370,
77371,6.802721
77372,8.5836906
77373,3.2767351
77374,
77375,5.836576
77376,
77377,6.1387353
77378,7.4468083
77379,6.4158645
77380,3.3984706
77381,2.4429967
77382,2.7075813
77383,
77384,3.2154341
77385,5.2083335
77386,6.1842918
77387,
77388,3.9893618
77389,6.5243177
77393,
77396,5.4254713
77397,
77399,
77401,5.9084196
77402,
77404,
77406,1.0683761
77407,2.5046964
77410,
77411,
77412,
77413,
77414,5.839416
77415,
77417,
77418,
77419,
77420,
77422,3.4782608
77423,2.728513
77426,
77428,
77429,4.4098573
77430,
77431,
77432,
77433,5.0995631
77434,
77435,
77436,
77437,3.0150754
77440,
77441,6.802721
77442,
77443,
77444,
77445,4.1608877
77446,
77447,7.4812965
77448,
77449,4.9504952
77450,2.0639834
77451,
77452,
77453,
77454,
77455,
77456,
77457,
77458,
77459,2.7210884
77460,
77461,12.567325
77463,
77464,
77465,
77466,
77467,
77468,
77469,3.8910506
77470,
77471,6.1050062
77472,
77473,
77474,6.9930072
77475,
77476,
77477,5.7197332
77478,3.1055901
77479,2.6338894
77480,
77481,
77482,
77483,
77484,3.1152649
77485,
77486,
77487,
77488,11.331445
77489,4.6216059
77491,
77492,
77493,2.5429115
77494,3.1966906
77497,
77498,6.6342325
77499,
77501,
77502,4.7619047
77503,1.8963338
77504,7.1707954
77505,4.8590865
77506,4.1379309
77507,
77508,
77510,10.152285
77511,3.3247137
77512,
77514,
77515,4.5901637
77516,
77517,
77518,6.8846817
77519,
77520,4.5714288
77521,6.4705882
77522,
77523,3.9800994
77530,9.1996317
77531,2.7803521
77532,5.6697378
77533,
77534,
77535,8.7227411
77536,3.2051282
77537,
77538,
77539,4.8165989
77540,
77541,5.5555553
77542,
77545,10.646388
77546,4.5294414
77547,3.0959752
77549,
77550,4.5662103
77551,4.1536865
77553,
77554,
77555,
77560,
77561,
77562,1.7605634
77563,4.2283297
77564,
77565,
77566,2.7758501
77568,4.8250904
77571,3.7473233
77572,
77573,3.3500838
77574,
77575,2.2727273
77577,
77578,5.5248618
77580,
77581,6.0449052
77582,
77583,4.0816326
77584,2.2285252
77585,
77586,4.3010755
77587,5.7708163
77588,
77589,
77590,4.872107
77591,9.8522167
77592,
77595,
77597,
77598,3.7523453
77607,
77611,5.7803469
77612,
77613,
77614,
77615,
77616,
77619,5.6179776
77622,
77623,
77624,
77625,
77626,
77627,4.7080979
77629,
77630,9.3645487
77631,
77632,8.2987556
77639,
77640,7.9455166
77641,
77642,6.8493152
77643,
77650,
77651,5.0761423
77655,
77656,6.521739
77657,1.9065777
77659,
77660,
77661,
77662,8.9285717
77663,
77664,
77665,
77670,
77700,
77701,12.875537
77702,
77703,8.5632734
77704,
77705,9.9009905
77706,6.6225166
77707,7.5107298
77708,16.927084
77710,
77713,7.3855243
77725,
77726,
77751,
77782,
77801,7.7691455
77802,2.3346303
77803,3.3970275
77804,
77805,
77806,
77807,2.8368795
77808,0
77823,
77830,
77831,
77833,5.830904
77834,
77835,
77836,1.9723866
77837,
77838,
77840,3.3426185
77841,
77842,
77843,
77845,5.821918
77850,
77852,
77853,
77855,
77856,
77857,
77859,7.0754719
77861,
77863,
77864,2.2779043
77865,
77866,
77867,
77868,6.7934785
77870,
77871,
77872,
77873,
77875,
77876,
77878,
77879,
77880,
77881,
77882,
77893,
77901,7.2046108
77902,
77903,
77904,1.6863407
77905,4.0927696
77950,
77951,
77954,1.7889087
77957,6.521739
77960,
77961,
77962,
77963,
77964,
77968,
77969,
77970,
77971,
77973,
77974,
77975,
77976,
77977,
77978,
77979,3.1185031
77982,
77983,
77984,
77986,
77987,
77988,
77989,
77990,
77991,
77993,
77994,
77995,7.7821012
78002,2.0449898
78003,
78004,
78005,
78006,6.9565215
78007,
78008,
78009,
78010,
78011,
78012,
78013,
78014,
78015,4.4345899
78016,1.9569472
78017,
78019,
78021,
78022,
78023,3.9292731
78024,
78025,
78026,
78027,
78028,3.8759689
78029,
78032,
78039,
78040,4.4444447
78041,4.0532718
78042,
78043,5.1706309
78044,
78045,4.5328631
78046,5.0686722
78048,
78050,
78051,
78052,11.520738
78054,
78055,
78056,
78057,
78058,
78059,
78060,
78061,10.130246
78063,
78064,2.3952096
78065,3.1007752
78066,
78067,
78069,
78070,10.504202
78071,
78072,
78073,1.9569472
78074,
78075,
78076,7.1237755
78078,
78101,
78102,8.1967211
78104,
78107,
78108,6.3657408
78109,3.8971162
78111,
78112,2.1929824
78113,
78114,3.1880977
78115,
78116,
78117,
78118,
78119,
78121,1.814882
78122,
78123,
78124,
78125,
78130,3.8971162
78131,
78132,4.3811612
78133,9.0744104
78140,
78141,
78142,
78143,
78144,
78145,
78146,
78147,
78148,6.2001772
78150,
78151,
78152,
78154,4.9170251
78155,3.7531276
78156,
78159,
78160,
78161,
78162,
78163,
78164,
78166,
78170,
78200,
78201,4.1478128
78202,4.3956046
78203,14.981274
78204,8.9020767
78205,
78206,
78207,6.1561193
78208,
78209,4.5454545
78210,3.3222592
78211,6.6137567
78212,3.7936268
78213,7.596961
78214,5.1646223
78215,
78216,7.1368599
78217,4.4356828
78218,9.6107645
78219,7.9286423
78220,8.984726
78221,5.05476
78222,4.8939643
78223,6.4476514
78224,3.3528919
78225,4.6728973
78226,9.3457947
78227,7.3968706
78228,4.7182903
78229,7.6812291
78230,4.2987642
78231,
78232,2.6972353
78233,3.11042
78234,
78235,
78236,
78237,6.3267584
78238,5.878511
78239,8.965929
78240,5.8258085
78241,
78242,5.7330055
78244,4.554656
78245,5.1524258
78246,
78247,3.6540804
78248,2.0746889
78249,3.4632034
78250,6.0544906
78251,5.206738
